Airline Name,IATA Designator,3 digit code
Luxair,LG,149
Madagascar Airlines,MD,258
Malaysia Airlines,MH,232
Mandarin Airlines,AE,803
Martinair Cargo,MP,129
MasAir,M7,865
Mauritania Airlines International,L6,495
Mavi Gök Airlines (MGA),4M,734
MEA,ME,76
MIAT Mongolian Airlines,OM,289
MNG Airlines,MB,716
Myanmar Airways International,8M,599
Myanmar National Airlines,UB,665
National Airlines,N8,416
Nauru Airlines,ON,123
Neos,NO,703
Nesma Airlines,NE,477
New Pacific Airlines,7H,808
Nile Air,NP,325
Nippon Cargo Airlines,KZ,933
Nok Air,DD,596
NordStar,Y7,476
Nordwind Airlines,N4,216
Norra,N7,
Nouvelair,BJ,796
Okay Airways,BK,866
Olympic Air,OA,50
Oman Air,WY,910
Overland Airways,OF,559
Pakistan International Airlines,PK,214
PAL Express,2P,211
Paranair,ZP,445
Pegasus Airlines,PC,624
Petroleum Air Services,UF,505
PGA-Portugalia Airlines,NI*,
Philippine Airlines,PR,79
Plus Ultra,PU,663
Polar Air Cargo,PO,403
PopulAir,HP,415
Porter Airlines,PD,451
Poste Air Cargo,M4,408
Precision Air,PW,31
Privilege Style,P6,433
Proflight Zambia,P0,659
Qantas,QF,81
Qatar Airways,QR,157
Qazaq Air,IQ,
Qingdao Airlines,QW,912
Red Sea Airlines,4S,
Riyadh Air,RX,122
Rossiya Airlines,FV,195
Royal Air Maroc,AT,147
Royal Brunei,BI,672
Royal Jordanian,RJ,512
Ruili Airlines,DR,299
RusLine,7R,362
RwandAir,WB,459
S7 Airlines,S7,421
Safair,FA,640
Salam Air,OV,960
SAS,SK,117
SATA Air Acores,SP,737
Saudi Arabian Airlines,SV,65
SCAT Airlines,DV,655
Scoot,TR,668
SF Airlines,O3,921
Shandong Airlines,SC,324
Shanghai Airlines,FM,774
Shenzhen Airlines,ZH,479
Sichuan Airlines,3U,876
Silk Way West Airlines,7L,501
Singapore Airlines,SQ,618
SKY Airline,H2,605
Sky express,GQ,633
SkyUp Airlines,PQ,10
Smartavia,5N,316
SmartLynx Airlines Malta,2N*,
Smartwings,QS,797
Solomon Airlines,IE,193
Somon Air,SZ,413
South African Airways,SA,83
Southwest Airlines,WN,526
Southwind Airlines,2S,263
SpiceJet,SG,775
SriLankan Airlines,UL,603
STARLUX Airlines,JX,189
Sun Country Airlines,SY,337
SunExpress,XQ,564
Suparna Airlines,Y8,871
Swiftair,WT,221
SWISS,LX,724
Syrianair,RB,70
T'way Air,TW,722
TAAG Angola Airlines,DT,118
TACA,TA,202
TAG Airlines,5U,411
Tailwind Airlines,TI*,768
TAP Air Portugal,TP,47
TAROM,RO,281
Thai Airways International,TG,217
Thai Lion Air,SL,310
Tianjin Airlines,GS,826
Tibet Airlines,TV,88
TUIfly,X3,617
Tunisair,TU,199
Turkish Airlines,TK,235
TUS Airways,U8,34
ULS Airlines Cargo,GO*,444
UNI AIR,B7,525
United Airlines,UA,16
United Nigeria Airlines,UN,
UPS Airlines,5X,406
Ural Airlines,U6,262
Urumqi Air,UQ,886
US-Bangla Airlines,BS,779
UTair,UT,298
Uzbekistan Airways,HY,250
Vietjet,VJ,978
Vietnam Airlines,VN,738
Virgin Atlantic,VS,932
Virgin Australia,VA,795
Volaris,Y4,36
Volotea,V7,712
Vueling,VY,30
Wamos Air,EB,460
West Air,PN,847
WestJet,WS,838
White coloured by you,WI,97
Wideroe,WF,701
World2Fly,2W,825
Xiamen Airlines,MF,731
YTO Cargo Airlines,YG,860
